BEGIN_YEAR,HAIL_COUNT,DAMAGE_PROPERTY,DAMAGE_CROPS,DEATH_TOLL,TOTAL_INJURIES
1965,0,0.0,0.0,0.0,0.0
1999,1052,25.130400000000055,27.679300000000055,0.0,46.0
2000,1418,34.84851000000009,36.40060000000005,2.0,57.0
2001,1719,28.07405000000007,24.36257000000001,0.0,32.0
2002,1750,31.964539999999943,30.498220000000018,0.0,125.0
2003,1915,42.90598000000015,33.69345000000004,0.0,121.0
2004,1429,27.42541,35.41070000000003,0.0,4.0
2005,1349,33.40673999999999,18.800360000000033,1.0,8.0
2006,2250,49.58224000000011,25.38466000000002,0.0,18.0
2007,11281,20.79475000000003,19.401800000000012,0.0,28.0
2008,15167,46.102450000000445,62.32585000000004,2.0,13.0
2009,10281,43.828120000000055,28.314680000000028,0.0,72.0
2010,8113,27.889550000000035,15.06515,0.0,49.0
2011,12884,56.41615999999998,25.904600000000073,2.0,35.0
2012,9533,70.25361000000008,36.468560000000096,0.0,58.0
2013,7340,48.100040000000064,9.130999999999993,0.0,6.0
2014,7686,39.45604999999995,13.26705000000001,3.0,23.0
2015,6857,20.191520000000022,16.586500000000008,0.0,1.0
2016,6969,27.005690000000047,15.243220000000004,0.0,24.0
2017,7707,49.51052000000002,11.709930000000005,2.0,15.0
2018,5562,23.027649999999984,7.520300000000001,0.0,30.0
2019,517,1.7976200000000004,0.00012,0.0,1.0
