BEGIN_YEAR,HEAT_COUNT,DAMAGE_PROPERTY,DAMAGE_CROPS,DEATH_TOLL,TOTAL_INJURIES
1999,61,0.0033,0.0,502.0,1477.0
2000,42,0.0,0.0,158.0,467.0
2001,10,0.0,0.0,166.0,445.0
2002,28,0.0,0.0,167.0,378.0
2003,1,0.0,0.002,36.0,174.0
2004,1,0.0,0.0,6.0,74.0
2005,2,0.003,0.0,158.0,298.0
2006,4,0.18000000000000002,0.5689000000000001,252.0,1513.0
2007,464,0.0,0.0,54.0,698.0
2008,159,0.05,0.5,38.0,30.0
2009,240,1.063,0.0,32.0,57.0
2010,1066,0.503,0.375,73.0,113.0
2011,670,0.0,0.0,88.0,936.0
2012,1116,0.0,7.803999999999999,71.0,505.0
2013,383,0.5265,0.0,46.0,664.0
2014,181,0.0,0.0,16.0,75.0
2015,377,0.0,0.0,46.0,481.0
2016,595,0.0,0.0,61.0,251.0
2017,439,0.0,0.0,87.0,133.0
2018,965,0.02,0.0,101.0,312.0
