FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
201903,13,0,38391,801196,"I","03/13/2019 00:00:00",52,"M","Vehicle/Towed Trailer",201903
201903,3,0,37379,801550,"D","03/03/2019 00:00:00",53,"M","Outside/Open Areas",201903
201903,9,0,37842,801603,"D","03/09/2019 00:00:00",25,"M","Outside/Open Areas",201903
201903,13,0,37402,802414,"I","03/13/2019 00:00:00",28,"M","Vehicle/Towed Trailer",201903
201903,14,0,38462,802871,"D","03/14/2019 00:00:00",51,"M","Outside/Open Areas",201903
201903,13,0,37662,805599,"D","03/13/2019 00:00:00",,"M","Boating",201903
201903,5,0,37852,807189,"D","03/05/2019 00:00:00",59,"M","Vehicle/Towed Trailer",201903
201903,30,0,37861,808622,"D","03/30/2019 00:00:00",60,"M","In Water",201903
201903,22,0,37908,811033,"I","03/22/2019 00:00:00",27,"F","Vehicle/Towed Trailer",201903
201903,4,0,38184,813465,"D","03/04/2019 00:00:00",37,"M","Vehicle/Towed Trailer",201903
201903,3,0,38136,813640,"D","03/03/2019 00:00:00",59,"F","Mobile/Trailer Home",201903
201903,3,0,38137,813640,"D","03/03/2019 00:00:00",68,"F","Mobile/Trailer Home",201903
201903,3,0,38138,813640,"D","03/03/2019 00:00:00",69,"F","Mobile/Trailer Home",201903
201903,3,0,38139,813640,"D","03/03/2019 00:00:00",63,"M","Mobile/Trailer Home",201903
201903,3,0,38140,813640,"D","03/03/2019 00:00:00",62,"F","Mobile/Trailer Home",201903
201903,3,0,38145,813640,"D","03/03/2019 00:00:00",65,"M","Mobile/Trailer Home",201903
201903,3,0,38146,813640,"D","03/03/2019 00:00:00",63,"F","Mobile/Trailer Home",201903
201903,3,0,38147,813640,"D","03/03/2019 00:00:00",38,"M","Mobile/Trailer Home",201903
201903,3,0,38148,813640,"D","03/03/2019 00:00:00",86,"M","Mobile/Trailer Home",201903
201903,3,0,38149,813640,"D","03/03/2019 00:00:00",59,"M","Mobile/Trailer Home",201903
201903,3,0,38150,813640,"D","03/03/2019 00:00:00",59,"F","Mobile/Trailer Home",201903
201903,3,0,38151,813640,"D","03/03/2019 00:00:00",10,"M","Mobile/Trailer Home",201903
201903,3,0,38152,813640,"D","03/03/2019 00:00:00",53,"M","Mobile/Trailer Home",201903
201903,3,0,38153,813640,"D","03/03/2019 00:00:00",41,"F","Mobile/Trailer Home",201903
201903,3,0,38154,813640,"D","03/03/2019 00:00:00",6,"M","Mobile/Trailer Home",201903
201903,3,0,38155,813640,"D","03/03/2019 00:00:00",22,"F","Mobile/Trailer Home",201903
201903,3,0,38156,813640,"D","03/03/2019 00:00:00",22,"M","Mobile/Trailer Home",201903
201903,3,0,38157,813640,"D","03/03/2019 00:00:00",9,"M","Mobile/Trailer Home",201903
201903,3,0,38158,813640,"D","03/03/2019 00:00:00",8,"F","Mobile/Trailer Home",201903
201903,3,0,38141,813640,"D","03/03/2019 00:00:00",57,"F","Permanent Home",201903
201903,3,0,38142,813640,"D","03/03/2019 00:00:00",89,"M","Permanent Home",201903
201903,3,0,38143,813640,"D","03/03/2019 00:00:00",53,"M","Permanent Home",201903
201903,3,0,38144,813640,"D","03/03/2019 00:00:00",83,"F","Permanent Home",201903
201903,2,0,37974,814646,"I","03/02/2019 00:00:00",63,"M","Outside/Open Areas",201903
201903,3,0,37975,814646,"I","03/03/2019 00:00:00",69,"M","Permanent Home",201903
201903,13,0,37976,814656,"D","03/13/2019 00:00:00",62,"M","Outside/Open Areas",201903
201903,14,0,37977,814656,"D","03/14/2019 00:00:00",44,"M","Outside/Open Areas",201903
201903,13,0,38205,815401,"D","03/13/2019 00:00:00",68,"M","Outside/Open Areas",201903
201903,14,0,38206,815401,"I","03/14/2019 00:00:00",50,"F","Permanent Home",201903
201903,14,0,38207,815401,"I","03/14/2019 00:00:00",55,"M","Permanent Home",201903
201903,29,0,38198,815435,"D","03/29/2019 00:00:00",74,"F","Outside/Open Areas",201903
201903,22,0,38466,818414,"D","03/22/2019 00:00:00",39,"M","Outside/Open Areas",201903
201901,19,0,37244,795760,"I","01/19/2019 00:00:00",25,"M","Vehicle/Towed Trailer",201901
201901,21,0,37245,795764,"I","01/21/2019 00:00:00",19,"F","Vehicle/Towed Trailer",201901
201901,11,0,37388,801872,"I","01/11/2019 00:00:00",32,"F","Vehicle/Towed Trailer",201901
201901,11,0,37389,801882,"I","01/11/2019 00:00:00",53,"F","Vehicle/Towed Trailer",201901
201901,11,0,37390,801882,"I","01/11/2019 00:00:00",14,"F","Vehicle/Towed Trailer",201901
201901,21,0,37391,801898,"I","01/21/2019 00:00:00",19,"F","Vehicle/Towed Trailer",201901
201901,29,0,37413,801733,"I","01/29/2019 00:00:00",22,"M","Vehicle/Towed Trailer",201901
201901,3,0,37422,804082,"I","01/03/2019 00:00:00",35,"F","Vehicle/Towed Trailer",201901
201901,3,0,37423,804082,"I","01/03/2019 00:00:00",35,"M","Vehicle/Towed Trailer",201901
201901,3,0,37424,804082,"I","01/03/2019 00:00:00",10,"F","Vehicle/Towed Trailer",201901
201901,31,0,37436,804387,"D","01/31/2019 00:00:00",65,"M","Permanent Home",201901
201901,31,0,37437,804387,"D","01/31/2019 00:00:00",48,"F","Outside/Open Areas",201901
201901,31,0,37438,804387,"D","01/31/2019 00:00:00",59,"M","Outside/Open Areas",201901
201901,31,0,37439,804388,"D","01/31/2019 00:00:00",60,"F","Permanent Home",201901
201901,9,0,37473,804863,"D","01/09/2019 00:00:00",64,"M","In Water",201901
201901,21,0,37477,805136,"I","01/21/2019 00:00:00",,"","Permanent Home",201901
201901,21,0,37478,805136,"I","01/21/2019 00:00:00",,"","Permanent Home",201901
201901,18,0,37926,811941,"I","01/18/2019 00:00:00",20,"F","Vehicle/Towed Trailer",201901
201901,18,0,37927,811941,"I","01/18/2019 00:00:00",58,"F","Vehicle/Towed Trailer",201901
201901,20,0,37928,811925,"I","01/20/2019 00:00:00",59,"M","Permanent Home",201901
201901,20,0,37929,811925,"I","01/20/2019 00:00:00",91,"M","Permanent Home",201901
201901,23,0,37930,812258,"I","01/23/2019 00:00:00",68,"M","Outside/Open Areas",201901
201901,1,0,36805,791368,"D","01/01/2019 00:00:00",,"","Outside/Open Areas",201901
201901,1,0,36806,791368,"D","01/01/2019 00:00:00",,"","Vehicle/Towed Trailer",201901
201901,4,0,36858,791649,"I","01/04/2019 00:00:00",,"","Vehicle/Towed Trailer",201901
201901,5,0,37229,792214,"D","01/05/2019 00:00:00",40,"M","Outside/Open Areas",201901
201901,10,0,36834,792656,"I","01/10/2019 00:00:00",65,"M","Vehicle/Towed Trailer",201901
201901,1,0,36839,792690,"I","01/01/2019 00:00:00",50,"M","Vehicle/Towed Trailer",201901
201901,12,0,37408,793101,"I","01/12/2019 00:00:00",73,"M","Vehicle/Towed Trailer",201901
201901,21,0,36851,793453,"I","01/21/2019 00:00:00",34,"F","Vehicle/Towed Trailer",201901
201901,22,0,36857,793953,"I","01/22/2019 00:00:00",52,"M","Outside/Open Areas",201901
201901,17,0,37204,794220,"D","01/17/2019 00:00:00",26,"M","Outside/Open Areas",201901
201901,17,0,37205,794220,"D","01/17/2019 00:00:00",22,"M","Outside/Open Areas",201901
201901,25,0,37230,794267,"D","01/25/2019 00:00:00",39,"M","Outside/Open Areas",201901
201901,21,0,37231,794275,"D","01/21/2019 00:00:00",50,"M","Outside/Open Areas",201901
201901,23,0,37222,794653,"I","01/23/2019 00:00:00",69,"M","Outside/Open Areas",201901
201902,5,0,37233,795687,"I","02/05/2019 00:00:00",64,"M","Vehicle/Towed Trailer",201902
201902,5,0,37238,795729,"I","02/05/2019 00:00:00",19,"F","Vehicle/Towed Trailer",201902
201902,5,0,37239,795729,"I","02/05/2019 00:00:00",21,"M","Vehicle/Towed Trailer",201902
201902,4,0,37241,795577,"I","02/04/2019 00:00:00",7,"F","Vehicle/Towed Trailer",201902
201902,4,0,37242,795576,"I","02/04/2019 00:00:00",85,"F","Vehicle/Towed Trailer",201902
201902,10,0,37283,797000,"I","02/10/2019 00:00:00",,"M","Vehicle/Towed Trailer",201902
201901,26,0,37223,794955,"I","01/26/2019 00:00:00",28,"M","Outside/Open Areas",201901
201901,28,0,37225,795005,"I","01/28/2019 00:00:00",22,"M","Outside/Open Areas",201901
201901,28,0,37226,795005,"I","01/28/2019 00:00:00",21,"F","Outside/Open Areas",201901
201901,20,0,37232,795342,"D","01/20/2019 00:00:00",,"","Under Tree",201901
201901,30,0,37246,795779,"D","01/30/2019 00:00:00",70,"M","Outside/Open Areas",201901
201901,30,0,37247,795779,"D","01/30/2019 00:00:00",75,"M","Outside/Open Areas",201901
201901,12,0,37269,796115,"I","01/12/2019 00:00:00",52,"M","In Water",201901
201901,12,0,37270,796116,"I","01/12/2019 00:00:00",52,"M","In Water",201901
201901,12,0,37271,796117,"I","01/12/2019 00:00:00",52,"M","In Water",201901
201901,12,0,37272,796118,"I","01/12/2019 00:00:00",52,"M","In Water",201901
201901,6,0,37274,796277,"D","01/06/2019 00:00:00",32,"M","Vehicle/Towed Trailer",201901
201901,7,0,37275,796413,"D","01/07/2019 00:00:00",,"M","In Water",201901
201901,19,0,37404,797311,"I","01/19/2019 00:00:00",63,"M","Outside/Open Areas",201901
201901,12,0,37290,797341,"D","01/12/2019 00:00:00",18,"M","In Water",201901
201901,16,0,37294,797421,"D","01/16/2019 00:00:00",,"M","Outside/Open Areas",201901
201901,16,0,37295,797452,"I","01/16/2019 00:00:00",25,"M","Vehicle/Towed Trailer",201901
201901,16,0,37296,797455,"I","01/16/2019 00:00:00",52,"M","Outside/Open Areas",201901
201901,2,0,37311,797560,"I","01/02/2019 00:00:00",45,"F","Vehicle/Towed Trailer",201901
201901,22,0,37310,797640,"I","01/22/2019 00:00:00",62,"F","Vehicle/Towed Trailer",201901
201901,29,0,37308,797646,"D","01/29/2019 00:00:00",82,"M","Outside/Open Areas",201901
201901,21,0,37369,798982,"I","01/21/2019 00:00:00",71,"F","Outside/Open Areas",201901
201901,30,0,37418,800125,"D","01/30/2019 00:00:00",46,"F","Outside/Open Areas",201901
201901,30,0,37410,800956,"D","01/30/2019 00:00:00",22,"M","Outside/Open Areas",201901
201901,21,0,37395,802239,"I","01/21/2019 00:00:00",74,"M","Vehicle/Towed Trailer",201901
201901,25,0,37394,802250,"D","01/25/2019 00:00:00",35,"M","Outside/Open Areas",201901
201901,18,0,37398,802480,"I","01/18/2019 00:00:00",,"","Vehicle/Towed Trailer",201901
201901,8,0,37399,802481,"D","01/08/2019 00:00:00",50,"M","Boating",201901
201901,8,0,37400,802481,"D","01/08/2019 00:00:00",48,"M","Boating",201901
201901,8,0,37401,802481,"D","01/08/2019 00:00:00",50,"M","Boating",201901
201901,27,0,37405,802738,"I","01/27/2019 00:00:00",75,"M","Outside/Open Areas",201901
201901,9,0,37407,802751,"D","01/09/2019 00:00:00",29,"M","Outside/Open Areas",201901
201901,16,0,37421,803882,"D","01/16/2019 00:00:00",75,"M","Outside/Open Areas",201901
201901,27,0,37431,804274,"I","01/27/2019 00:00:00",,"M","Outside/Open Areas",201901
201901,24,0,37430,804274,"I","01/24/2019 00:00:00",78,"F","Vehicle/Towed Trailer",201901
201901,2,0,37445,804444,"D","01/02/2019 00:00:00",,"","Vehicle/Towed Trailer",201901
201901,2,0,37446,804444,"D","01/02/2019 00:00:00",,"","Vehicle/Towed Trailer",201901
201901,2,0,37447,804444,"D","01/02/2019 00:00:00",,"","Vehicle/Towed Trailer",201901
201901,31,0,37440,804490,"D","01/31/2019 00:00:00",69,"M","Outside/Open Areas",201901
201901,8,0,37444,804570,"D","01/08/2019 00:00:00",58,"F","Outside/Open Areas",201901
201901,30,0,37470,804847,"D","01/30/2019 00:00:00",18,"M","Outside/Open Areas",201901
201901,30,0,37467,804848,"D","01/30/2019 00:00:00",72,"M","Outside/Open Areas",201901
201901,30,0,37468,804848,"D","01/30/2019 00:00:00",67,"M","Outside/Open Areas",201901
201901,30,0,37476,804852,"D","01/30/2019 00:00:00",18,"M","Outside/Open Areas",201901
201902,6,0,37285,797147,"D","02/06/2019 00:00:00",54,"M","Vehicle/Towed Trailer",201902
201902,11,0,37301,797507,"I","02/11/2019 00:00:00",50,"M","In Water",201902
201902,11,0,37302,797507,"I","02/11/2019 00:00:00",15,"F","In Water",201902
201902,11,0,37303,797507,"I","02/11/2019 00:00:00",13,"F","In Water",201902
201902,1,0,37309,797647,"D","02/01/2019 00:00:00",72,"F","Permanent Structure",201902
201902,15,0,37316,797740,"I","02/15/2019 00:00:00",74,"F","Vehicle/Towed Trailer",201902
201902,19,0,37324,798371,"D","02/19/2019 00:00:00",47,"M","Outside/Open Areas",201902
201902,16,0,37325,798364,"D","02/16/2019 00:00:00",27,"M","Outside/Open Areas",201902
201902,16,0,37326,798364,"D","02/16/2019 00:00:00",37,"M","Outside/Open Areas",201902
201902,14,0,37392,802037,"D","02/14/2019 00:00:00",84,"M","Vehicle/Towed Trailer",201902
201902,12,0,37412,803312,"D","02/12/2019 00:00:00",52,"F","Under Tree",201902
201902,22,0,37426,804275,"I","02/22/2019 00:00:00",22,"F","Outside/Open Areas",201902
201902,23,0,37464,804812,"D","02/23/2019 00:00:00",60,"M","Vehicle/Towed Trailer",201902
201902,23,0,37465,804812,"D","02/23/2019 00:00:00",58,"M","In Water",201902
201902,15,0,37652,805364,"I","02/15/2019 00:00:00",30,"M","Vehicle/Towed Trailer",201902
201902,2,0,37653,805386,"D","02/02/2019 00:00:00",76,"M","Vehicle/Towed Trailer",201902
201902,7,0,37654,805402,"I","02/07/2019 00:00:00",51,"M","Outside/Open Areas",201902
201902,21,0,37661,805460,"I","02/21/2019 00:00:00",53,"M","Outside/Open Areas",201902
201902,7,0,37681,806035,"D","02/07/2019 00:00:00",58,"M","Vehicle/Towed Trailer",201902
201902,17,0,37832,797540,"I","02/17/2019 00:00:00",,"M","Outside/Open Areas",201902
201902,17,0,37833,797540,"I","02/17/2019 00:00:00",,"F","Outside/Open Areas",201902
201902,27,0,37835,807040,"D","02/27/2019 00:00:00",35,"M","In Water",201902
201902,9,0,37864,808882,"I","02/09/2019 00:00:00",52,"F","Vehicle/Towed Trailer",201902
201902,7,0,37876,808779,"D","02/07/2019 00:00:00",46,"M","Outside/Open Areas",201902
201902,10,0,37879,809877,"I","02/10/2019 00:00:00",27,"M","Vehicle/Towed Trailer",201902
201902,19,0,37883,808917,"I","02/19/2019 00:00:00",29,"M","Vehicle/Towed Trailer",201902
201902,6,0,37885,809854,"D","02/06/2019 00:00:00",53,"F","Outside/Open Areas",201902
201902,21,0,37886,810291,"I","02/21/2019 00:00:00",25,"M","Vehicle/Towed Trailer",201902
201902,24,0,37894,809516,"I","02/24/2019 00:00:00",30,"M","Outside/Open Areas",201902
201902,18,0,37897,798141,"I","02/18/2019 00:00:00",,"F","Vehicle/Towed Trailer",201902
201902,6,0,37903,810660,"I","02/06/2019 00:00:00",32,"M","Vehicle/Towed Trailer",201902
201902,6,0,37904,810660,"I","02/06/2019 00:00:00",31,"F","Vehicle/Towed Trailer",201902
201902,17,0,37935,812703,"I","02/17/2019 00:00:00",39,"M","Vehicle/Towed Trailer",201902
201902,17,0,37936,812703,"I","02/17/2019 00:00:00",24,"F","Vehicle/Towed Trailer",201902
201902,22,0,37938,812906,"D","02/22/2019 00:00:00",18,"M","Vehicle/Towed Trailer",201902
201902,23,0,37940,799239,"D","02/23/2019 00:00:00",41,"F","Permanent Structure",201902
201902,27,0,37941,799239,"I","02/27/2019 00:00:00",77,"M","Permanent Structure",201902
